model,fold,rmsle
ridge,1,0.13744638506674878
ridge,2,0.12757808629303907
ridge,3,0.22016123217651468
ridge,4,0.12475341450248717
ridge,5,0.1096623024348109
lasso,1,0.13731352024814186
lasso,2,0.1279863231084176
lasso,3,0.2238724693171005
lasso,4,0.11844145445859228
lasso,5,0.13008021093652827
elastic_net,1,0.13669945531189764
elastic_net,2,0.12792264716001814
elastic_net,3,0.22498955076178961
elastic_net,4,0.11825567280727485
elastic_net,5,0.1254485712437087
gradient_boosting,1,0.1276599478274345
gradient_boosting,2,0.11313209439091002
gradient_boosting,3,0.16764503942247938
gradient_boosting,4,0.12417886442596876
gradient_boosting,5,0.11457899222078724
